Codigo,Entidad,Nombre Fantasia,Comuna,Longitud,Latitud
80074,Fullcarga,TIENDA UPA!-SHELL  (F.159),Cerrillos,-70.69734405004449,-33.4848946887901
80417,Fullcarga,ROSALINO RIVERA PEREZ,La Reina,-70.5404343939393,-33.4549468181818
80481,Fullcarga,ECOMARKET S,Pudahuel,-70.7400765337963,-33.4580877935827
80869,Fullcarga,TIENDA UPA!-SHELL  (F.140),Las Condes,-70.54494346,-33.4091257
80870,Fullcarga,TIENDA UPA!-SHELL  (F.793),Providencia,-70.6020194232275,-33.4267514761552
80871,Fullcarga,TIENDA UPA!-SHELL  (F.123),Lo Barnechea,-70.5314507752412,-33.354764945533105
81724,Fullcarga,RODRIGO,Maipu,-70.7363466666667,-33.4985916666667
81770,Fullcarga,TIENDA UPA!-SHELL  (F.157),Providencia,-70.6333624473611,-33.4419368770833
83061,Fullcarga,DONDE LA NANCY,Quilicura,-70.73917166666669,-33.349934761904755
83454,Fullcarga,ANDREA - ANDRES,Santiago,-70.633251,-33.471605
83856,Fullcarga,DONDE LAS CHIQUILLAS JESSICA Y SILVIA,Quilicura,-70.734225462963,-33.3532874074074
83913,Fullcarga,VILLA ALEGRE,Cerrillos,-70.7243359564935,-33.497214686585004
84469,Fullcarga,JOSE HERMIDA ARBUCH,Independencia,-70.6766523879444,-33.4174706085135
85107,Fullcarga,MINIMARKET,Cerro Navia,-70.73011004647434,-33.43286232355769
85208,Fullcarga,MARCELA VASQUEZ VERA,San Bernardo,-70.66760874561909,-33.5877233285047
85918,Fullcarga,DON RAMON,Quinta Normal,-70.702534858849,-33.4439625642933
86177,Fullcarga,ZORAIDA ZEVALLOS HUANCA,Santiago,-70.680357,-33.434875
86603,Fullcarga,LOS HENRIQUEZ,Cerro Navia,-70.7604017222222,-33.41575888888888
86604,Fullcarga,JUAN PABLO MORENO VERA,Quinta Normal,-70.6935877605865,-33.4446070934453
86775,Fullcarga,ETIENNE,El Bosque,-70.66734349985859,-33.56927511280223
86947,Fullcarga,ALMACEN LA ITA,Puente Alto,-70.55880060150953,-33.584869684755226
87106,Fullcarga,BAZAR,Maipu,-70.7860125,-33.56172416666665
87775,Fullcarga,PROVISIONES OLGUITA RECOL,Recoleta,-70.65359252,-33.38457392
87777,Fullcarga,MARINA CORREA,Huechuraba,-70.689651,-33.35735359
87802,Fullcarga,SANTA OLGA,Independencia,-70.67511298,-33.41304471
